/* Instance M3: |P|=10, |D|=4, K=3, Q=70 */

nNodes_exp = 19;
nUAV = 3;
nP = 10;
nD = 4;
maxVisits = 2;

travelCost = 1.0;
Q = 70.0;

dist = [
  [   0.00,   24.69,   43.87,   55.62,   51.13,   31.15,   36.18,   43.08,   41.37,   44.12,   34.54,   15.48,   15.48,   32.75,   32.75,   37.34,   37.34,   17.44,   17.44],
  [  24.69,    0.00,   23.58,   32.79,   31.58,    8.16,   31.32,   33.65,   27.53,   30.48,   29.16,   13.32,   13.32,    8.16,    8.16,   16.16,   16.16,   11.06,   11.06],
  [  43.87,   23.58,    0.00,   13.28,    8.00,   25.26,   24.72,   20.41,   12.15,   13.48,   23.41,   28.45,   28.45,   18.01,   18.01,    7.42,    7.42,   26.43,   26.43],
  [  55.62,   32.79,   13.28,    0.00,   11.38,   31.32,   37.24,   31.48,   24.00,   24.19,   36.18,   40.57,   40.57,   25.24,   25.24,   18.37,   18.37,   38.33,   38.33],
  [  51.13,   31.58,    8.00,   11.38,    0.00,   33.00,   26.95,   20.41,   13.68,   13.21,   26.21,   35.64,   35.64,   25.83,   25.83,   15.43,   15.43,   33.78,   33.78],
  [  31.15,    8.16,   25.26,   31.32,   33.00,    0.00,   38.19,   39.31,   32.23,   34.99,   36.06,   21.42,   21.42,    7.30,    7.30,   18.36,   18.36,   19.21,   19.21],
  [  36.18,   31.32,   24.72,   37.24,   26.95,   38.19,    0.00,    8.49,   13.32,   14.05,    2.16,   24.01,   24.01,   32.42,   32.42,   24.74,   24.74,   24.10,   24.10],
  [  43.08,   33.65,   20.41,   31.48,   20.41,   39.31,    8.49,    0.00,    8.34,    7.30,    9.16,   29.41,   29.41,   32.64,   32.64,   22.93,   22.93,   28.86,   28.86],
  [  41.37,   27.53,   12.15,   24.00,   13.68,   32.23,   13.32,    8.34,    0.00,    3.00,   12.53,   26.38,   26.38,   25.24,   25.24,   14.90,   14.90,   25.19,   25.19],
  [  44.12,   30.48,   13.48,   24.19,   13.21,   34.99,   14.05,    7.30,    3.00,    0.00,   13.70,   29.26,   29.26,   27.91,   27.91,   17.31,   17.31,   28.12,   28.12],
  [  34.54,   29.16,   23.41,   36.18,   26.21,   36.06,    2.16,    9.16,   12.53,   13.70,    0.00,   22.00,   22.00,   30.36,   30.36,   22.97,   22.97,   22.01,   22.01],
  [  15.48,   13.32,   28.45,   40.57,   35.64,   21.42,   24.01,   29.41,   26.38,   29.26,   22.00,    0.00,    0.00,   20.03,   20.03,   22.21,   22.21,    2.47,    2.47],
  [  15.48,   13.32,   28.45,   40.57,   35.64,   21.42,   24.01,   29.41,   26.38,   29.26,   22.00,    0.00,    0.00,   20.03,   20.03,   22.21,   22.21,    2.47,    2.47],
  [  32.75,    8.16,   18.01,   25.24,   25.83,    7.30,   32.42,   32.64,   25.24,   27.91,   30.36,   20.03,   20.03,    0.00,    0.00,   11.06,   11.06,   17.56,   17.56],
  [  32.75,    8.16,   18.01,   25.24,   25.83,    7.30,   32.42,   32.64,   25.24,   27.91,   30.36,   20.03,   20.03,    0.00,    0.00,   11.06,   11.06,   17.56,   17.56],
  [  37.34,   16.16,    7.42,   18.37,   15.43,   18.36,   24.74,   22.93,   14.90,   17.31,   22.97,   22.21,   22.21,   11.06,   11.06,    0.00,    0.00,   19.98,   19.98],
  [  37.34,   16.16,    7.42,   18.37,   15.43,   18.36,   24.74,   22.93,   14.90,   17.31,   22.97,   22.21,   22.21,   11.06,   11.06,    0.00,    0.00,   19.98,   19.98],
  [  17.44,   11.06,   26.43,   38.33,   33.78,   19.21,   24.10,   28.86,   25.19,   28.12,   22.01,    2.47,    2.47,   17.56,   17.56,   19.98,   19.98,    0.00,    0.00],
  [  17.44,   11.06,   26.43,   38.33,   33.78,   19.21,   24.10,   28.86,   25.19,   28.12,   22.01,    2.47,    2.47,   17.56,   17.56,   19.98,   19.98,    0.00,    0.00]
];

fixedCost = [15.3, 20.4, 31.1, 14.4];

inspectCost = [0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];

dockPhysical = [1, 1, 2, 2, 3, 3, 4, 4];
