/* Instance L2: |P|=15, |D|=5, K=4, Q=80 */

nNodes_exp = 26;
nUAV = 4;
nP = 15;
nD = 5;
maxVisits = 2;

travelCost = 1.0;
Q = 80.0;

dist = [
  [   0.00,   21.51,   49.94,   48.97,   57.26,   18.32,   23.58,   23.82,   31.94,   53.93,   49.94,   56.49,   18.74,   51.37,   48.88,   57.01,   39.64,   39.64,   48.49,   48.49,   24.71,   24.71,   26.79,   26.79,   16.16,   16.16],
  [  21.51,    0.00,   29.81,   28.90,   40.61,   12.49,    3.84,    7.42,   13.16,   38.27,   28.71,   34.99,    6.49,   29.86,   30.89,   35.78,   19.97,   19.97,   30.65,   30.65,    4.02,    4.02,    7.02,    7.02,   17.18,   17.18],
  [  49.94,   29.81,    0.00,   26.97,   16.71,   33.28,   29.96,   26.16,   29.10,   17.65,   19.59,   16.32,   31.21,   14.16,    8.53,   10.48,   10.32,   10.32,    9.00,    9.00,   25.91,   25.91,   23.34,   23.34,   38.14,   38.14],
  [  48.97,   28.90,   26.97,    0.00,   43.68,   40.16,   25.80,   32.07,   17.07,   44.27,    7.82,   16.01,   34.72,   13.85,   34.62,   22.81,   26.32,   26.32,   34.91,   34.91,   27.66,   27.66,   27.89,   27.89,   45.43,   45.43],
  [  57.26,   40.61,   16.71,   43.68,    0.00,   39.00,   42.06,   34.62,   43.82,    4.37,   36.25,   31.68,   39.46,   30.60,   10.22,   24.22,   21.73,   21.73,   10.27,   10.27,   36.62,   36.62,   33.58,   33.58,   42.46,   42.46],
  [  18.32,   12.49,   33.28,   40.16,   39.00,    0.00,   16.32,    8.40,   25.53,   35.62,   38.44,   43.02,    6.00,   38.03,   31.00,   41.74,   23.09,   23.09,   30.56,   30.56,   12.53,   12.53,   12.61,   12.61,    5.40,    5.40],
  [  23.58,    3.84,   29.96,   25.80,   42.06,   16.32,    0.00,   10.73,    9.49,   40.05,   26.38,   33.28,   10.32,   28.21,   32.07,   34.88,   20.72,   20.72,   31.90,   31.90,    6.12,    6.12,    9.02,    9.02,   20.93,   20.93],
  [  23.82,    7.42,   26.16,   32.07,   34.62,    8.40,   10.73,    0.00,   18.69,   31.88,   30.05,   34.72,    5.09,   29.70,   25.46,   33.88,   15.84,   15.84,   25.13,   25.13,    5.09,    5.09,    4.24,    4.24,   13.80,   13.80],
  [  31.94,   13.16,   29.10,   17.07,   43.82,   25.53,    9.49,   18.69,    0.00,   42.71,   19.47,   27.61,   19.59,   22.93,   33.61,   31.12,   22.23,   22.23,   33.60,   33.60,   13.60,   13.60,   15.37,   15.37,   30.34,   30.34],
  [  53.93,   38.27,   17.65,   44.27,    4.37,   35.62,   40.05,   31.88,   42.71,    0.00,   37.15,   33.52,   36.56,   31.81,    9.69,   26.43,   20.48,   20.48,    9.49,    9.49,   34.36,   34.36,   31.30,   31.30,   38.80,   38.80],
  [  49.94,   28.71,   19.59,    7.82,   36.25,   38.44,   26.38,   30.05,   19.47,   37.15,    0.00,    8.86,   33.65,    6.03,   27.63,   15.05,   20.80,   20.80,   27.97,   27.97,   26.46,   26.46,   25.83,   25.83,   43.84,   43.84],
  [  56.49,   34.99,   16.32,   16.01,   31.68,   43.02,   33.28,   34.72,   27.61,   33.52,    8.86,    0.00,   39.00,    5.13,   24.84,    7.80,   21.90,   21.90,   25.32,   25.32,   32.07,   32.07,   30.72,   30.72,   48.37,   48.37],
  [  18.74,    6.49,   31.21,   34.72,   39.46,    6.00,   10.32,    5.09,   19.59,   36.56,   33.65,   39.00,    0.00,   33.91,   30.48,   38.64,   20.90,   20.90,   30.13,   30.13,    7.20,    7.20,    8.36,    8.36,   10.82,   10.82],
  [  51.37,   29.86,   14.16,   13.85,   30.60,   38.03,   28.21,   29.70,   22.93,   31.81,    6.03,    5.13,   33.91,    0.00,   22.52,    9.18,   17.65,   17.65,   22.93,   22.93,   26.95,   26.95,   25.65,   25.65,   43.40,   43.40],
  [  48.88,   30.89,    8.53,   34.62,   10.22,   31.00,   32.07,   25.46,   33.61,    9.69,   27.63,   24.84,   30.48,   22.52,    0.00,   18.52,   11.54,   11.54,    0.60,    0.60,   26.87,   26.87,   23.89,   23.89,   35.16,   35.16],
  [  57.01,   35.78,   10.48,   22.81,   24.22,   41.74,   34.88,   33.88,   31.12,   26.43,   15.05,    7.80,   38.64,    9.18,   18.52,    0.00,   18.95,   18.95,   19.07,   19.07,   32.31,   32.31,   30.32,   30.32,   46.90,   46.90],
  [  39.64,   19.97,   10.32,   26.32,   21.73,   23.09,   20.72,   15.84,   22.23,   20.48,   20.80,   21.90,   20.90,   17.65,   11.54,   18.95,    0.00,    0.00,   11.46,   11.46,   15.98,   15.98,   13.21,   13.21,   28.09,   28.09],
  [  39.64,   19.97,   10.32,   26.32,   21.73,   23.09,   20.72,   15.84,   22.23,   20.48,   20.80,   21.90,   20.90,   17.65,   11.54,   18.95,    0.00,    0.00,   11.46,   11.46,   15.98,   15.98,   13.21,   13.21,   28.09,   28.09],
  [  48.49,   30.65,    9.00,   34.91,   10.27,   30.56,   31.90,   25.13,   33.60,    9.49,   27.97,   25.32,   30.13,   22.93,    0.60,   19.07,   11.46,   11.46,    0.00,    0.00,   26.63,   26.63,   23.64,   23.64,   34.68,   34.68],
  [  48.49,   30.65,    9.00,   34.91,   10.27,   30.56,   31.90,   25.13,   33.60,    9.49,   27.97,   25.32,   30.13,   22.93,    0.60,   19.07,   11.46,   11.46,    0.00,    0.00,   26.63,   26.63,   23.64,   23.64,   34.68,   34.68],
