/* Instance M1: |P|=6, |D|=3, K=2, Q=60 */

nNodes_exp = 13;
nUAV = 2;
nP = 6;
nD = 3;
maxVisits = 2;

travelCost = 1.0;
Q = 60.0;

dist = [
  [   0.00,    9.37,   14.65,   31.68,   35.64,   19.39,   23.00,   22.03,   22.03,   23.89,   23.89,   12.83,   12.83],
  [   9.37,    0.00,    6.12,   22.32,   26.65,   10.87,   17.32,   12.92,   12.92,   14.82,   14.82,    6.49,    6.49],
  [  14.65,    6.12,    0.00,   18.28,   21.00,   10.73,   12.07,   10.87,   10.87,   12.61,   12.61,   10.48,   10.48],
  [  31.68,   22.32,   18.28,    0.00,   10.48,   13.99,   22.49,   10.32,   10.32,    8.86,    8.86,   21.00,   21.00],
  [  35.64,   26.65,   21.00,   10.48,    0.00,   21.81,   18.97,   18.09,   18.09,   17.40,   17.40,   27.70,   27.70],
  [  19.39,   10.87,   10.73,   13.99,   21.81,    0.00,   21.64,    3.79,    3.79,    5.16,    5.16,    7.22,    7.22],
  [  23.00,   17.32,   12.07,   22.49,   18.97,   21.64,    0.00,   20.16,   20.16,   21.31,   21.31,   22.55,   22.55],
  [  22.03,   12.92,   10.87,   10.32,   18.09,    3.79,   20.16,    0.00,    0.00,    1.90,    1.90,   10.68,   10.68],
  [  22.03,   12.92,   10.87,   10.32,   18.09,    3.79,   20.16,    0.00,    0.00,    1.90,    1.90,   10.68,   10.68],
  [  23.89,   14.82,   12.61,    8.86,   17.40,    5.16,   21.31,    1.90,    1.90,    0.00,    0.00,   12.31,   12.31],
  [  23.89,   14.82,   12.61,    8.86,   17.40,    5.16,   21.31,    1.90,    1.90,    0.00,    0.00,   12.31,   12.31],
  [  12.83,    6.49,   10.48,   21.00,   27.70,    7.22,   22.55,   10.68,   10.68,   12.31,   12.31,    0.00,    0.00],
  [  12.83,    6.49,   10.48,   21.00,   27.70,    7.22,   22.55,   10.68,   10.68,   12.31,   12.31,    0.00,    0.00]
];

fixedCost = [30.4, 34.4, 29.3];

inspectCost = [0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];

dockPhysical = [1, 1, 2, 2, 3, 3];
