/* Instance M2: |P|=8, |D|=4, K=3, Q=60 */

nNodes_exp = 17;
nUAV = 3;
nP = 8;
nD = 4;
maxVisits = 2;

travelCost = 1.0;
Q = 60.0;

dist = [
  [   0.00,   36.40,   19.13,   34.49,   24.96,   41.79,   39.22,   34.78,   32.02,   13.96,   13.96,   14.86,   14.86,   18.05,   18.05,   19.94,   19.94],
  [  36.40,    0.00,   22.77,   19.35,   11.46,   33.02,   13.92,    4.33,    5.13,   23.41,   23.41,   26.36,   26.36,   18.61,   18.61,   31.68,   31.68],
  [  19.13,   22.77,    0.00,   15.37,   13.21,   24.10,   20.87,   19.53,   17.65,    6.84,    6.84,    4.57,    4.57,    8.36,    8.36,    9.37,    9.37],
  [  34.49,   19.35,   15.37,    0.00,   18.09,   13.85,    8.36,   15.04,   15.75,   21.28,   21.28,   19.81,   19.81,   19.59,   19.59,   19.53,   19.53],
  [  24.96,   11.46,   13.21,   18.09,    0.00,   31.29,   17.81,   10.20,    7.25,   12.13,   12.13,   15.84,   15.84,    7.22,    7.22,   22.59,   22.59],
  [  41.79,   33.02,   24.10,   13.85,   31.29,    0.00,   20.16,   28.76,   29.60,   30.93,   30.93,   27.37,   27.37,   30.97,   30.97,   22.52,   22.52],
  [  39.22,   13.92,   20.87,    8.36,   17.81,   20.16,    0.00,   10.22,   12.37,   25.31,   25.31,   25.43,   25.43,   22.13,   22.13,   27.01,   27.01],
  [  34.78,    4.33,   19.53,   15.04,   10.20,   28.76,   10.22,    0.00,    3.00,   21.21,   21.21,   23.47,   23.47,   16.74,   16.74,   28.09,   28.09],
  [  32.02,    5.13,   17.65,   15.75,    7.25,   29.60,   12.37,    3.00,    0.00,   18.64,   18.64,   21.31,   21.31,   14.01,   14.01,   26.57,   26.57],
  [  13.96,   23.41,    6.84,   21.28,   12.13,   30.93,   25.31,   21.21,   18.64,    0.00,    0.00,    5.37,    5.37,    4.95,    4.95,   13.71,   13.71],
  [  13.96,   23.41,    6.84,   21.28,   12.13,   30.93,   25.31,   21.21,   18.64,    0.00,    0.00,    5.37,    5.37,    4.95,    4.95,   13.71,   13.71],
  [  14.86,   26.36,    4.57,   19.81,   15.84,   27.37,   25.43,   23.47,   21.31,    5.37,    5.37,    0.00,    0.00,    9.37,    9.37,    8.36,    8.36],
  [  14.86,   26.36,    4.57,   19.81,   15.84,   27.37,   25.43,   23.47,   21.31,    5.37,    5.37,    0.00,    0.00,    9.37,    9.37,    8.36,    8.36],
  [  18.05,   18.61,    8.36,   19.59,    7.22,   30.97,   22.13,   16.74,   14.01,    4.95,    4.95,    9.37,    9.37,    0.00,    0.00,   17.16,   17.16],
  [  18.05,   18.61,    8.36,   19.59,    7.22,   30.97,   22.13,   16.74,   14.01,    4.95,    4.95,    9.37,    9.37,    0.00,    0.00,   17.16,   17.16],
  [  19.94,   31.68,    9.37,   19.53,   22.59,   22.52,   27.01,   28.09,   26.57,   13.71,   13.71,    8.36,    8.36,   17.16,   17.16,    0.00,    0.00],
  [  19.94,   31.68,    9.37,   19.53,   22.59,   22.52,   27.01,   28.09,   26.57,   13.71,   13.71,    8.36,    8.36,   17.16,   17.16,    0.00,    0.00]
];

fixedCost = [29.6, 26.3, 27.5, 16.2];

inspectCost = [0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];

dockPhysical = [1, 1, 2, 2, 3, 3, 4, 4];
