/* Instance L3: |P|=20, |D|=6, K=5, Q=100 */

nNodes_exp = 33;
nUAV = 5;
nP = 20;
nD = 6;
maxVisits = 2;

travelCost = 1.0;
Q = 100.0;

dist = [
  [   0.00,   83.05,   65.10,   69.07,   54.27,   56.92,   69.66,   68.64,   51.13,   31.15,   57.61,   63.70,   71.39,   37.38,   42.93,   37.15,   17.73,   28.68,   81.46,   68.37,   83.78,   30.55,   30.55,   33.28,   33.28,   44.25,   44.25,   43.12,   43.12,   46.96,   46.96,   39.07,   39.07],
  [  83.05,    0.00,   42.60,   43.10,   33.63,   27.63,   28.96,   22.87,   35.68,   56.16,   30.72,   60.86,   24.74,   50.09,   42.48,   46.70,   66.19,   54.41,    6.49,   15.04,   17.40,   52.68,   52.68,   50.98,   50.98,   54.95,   54.95,   49.78,   49.78,   44.10,   44.10,   58.36,   58.36],
  [  65.10,   42.60,    0.00,   68.89,   47.10,   25.58,   57.01,   50.19,   45.89,   34.28,   47.25,   80.38,   54.47,   28.82,   27.13,   33.47,   48.13,   41.92,   46.59,   37.99,   56.62,   43.95,   43.95,   35.13,   35.13,   63.49,   63.49,   56.80,   56.80,   53.29,   53.29,   63.33,   63.33],
  [  69.07,   43.10,   68.89,    0.00,   22.85,   43.32,   14.26,   21.21,   25.24,   57.53,   21.82,   18.69,   18.41,   55.01,   48.96,   47.19,   58.51,   48.00,   36.97,   34.12,   29.41,   43.80,   43.80,   50.32,   50.32,   25.53,   25.53,   26.05,   26.05,   23.43,   23.43,   30.89,   30.89],
  [  54.27,   33.63,   47.10,   22.85,    0.00,   21.74,   16.16,   14.45,    3.23,   36.02,    3.39,   33.62,   17.19,   32.67,   26.21,   25.21,   40.11,   28.28,   29.80,   19.28,   29.71,   24.74,   24.74,   28.86,   28.86,   21.63,   21.63,   16.16,   16.16,   10.48,   10.48,   24.74,   24.74],
  [  56.92,   27.63,   25.58,   43.32,   21.74,    0.00,   31.99,   25.63,   20.99,   28.58,   21.67,   55.32,   30.00,   22.47,   14.90,   19.81,   39.48,   28.45,   28.30,   15.78,   35.58,   27.89,   27.89,   23.89,   23.89,   40.41,   40.41,   33.79,   33.79,   29.31,   29.31,   41.54,   41.54],
  [  69.66,   28.96,   57.01,   14.26,   16.16,   31.99,    0.00,    7.22,   19.37,   51.88,   13.32,   32.00,    4.24,   48.00,   40.91,   40.96,   56.18,   44.42,   23.00,   20.38,   17.28,   40.80,   40.80,   44.80,   44.80,   30.79,   30.79,   28.00,   28.00,   23.05,   23.05,   35.52,   35.52],
  [  68.64,   22.87,   50.19,   21.21,   14.45,   25.63,    7.22,    0.00,   17.52,   48.03,   11.06,   38.14,    4.37,   43.54,   36.08,   37.11,   53.94,   41.87,   17.49,   13.16,   15.27,   38.70,   38.70,   41.21,   41.21,   33.43,   33.43,   29.33,   29.33,   23.80,   23.80,   37.57,   37.57],
  [  51.13,   35.68,   45.89,   25.24,    3.23,   20.99,   19.37,   17.52,    0.00,   33.00,    6.49,   34.49,   20.40,   29.89,   23.74,   22.27,   36.88,   25.06,   32.23,   20.96,   32.74,   21.51,   21.51,   25.81,   25.81,   20.48,   20.48,   14.45,   14.45,    9.02,    9.02,   23.00,   23.00],
  [  31.15,   56.16,   34.28,   57.53,   36.02,   28.58,   51.88,   48.03,   33.00,    0.00,   38.57,   61.19,   51.90,    6.49,   13.68,   10.95,   13.85,   11.53,   56.19,   42.95,   61.52,   15.65,   15.65,    7.22,    7.22,   40.34,   40.34,   34.91,   34.91,   34.78,   34.78,   37.68,   37.68],
  [  57.61,   30.72,   47.25,   21.82,    3.39,   21.67,   13.32,   11.06,    6.49,   38.57,    0.00,   34.38,   13.96,   34.85,   28.01,   27.66,   43.25,   31.32,   26.63,   16.81,   26.32,   27.91,   27.91,   31.48,   31.48,   24.27,   24.27,   19.17,   19.17,   13.48,   13.48,   27.70,   27.70],
