/* Instance S1: |P|=3, |D|=2, K=2, Q=40 */

nNodes_exp = 8;
nUAV = 2;
nP = 3;
nD = 2;
maxVisits = 2;

travelCost = 1.0;
Q = 40.0;

dist = [
  [   0.00,   20.37,    8.07,   20.96,   16.48,   16.48,    8.00,    8.00],
  [  20.37,    0.00,   14.45,   18.37,    7.32,    7.32,   12.37,   12.37],
  [   8.07,   14.45,    0.00,   13.54,    8.92,    8.92,    4.84,    4.84],
  [  20.96,   18.37,   13.54,    0.00,   11.54,   11.54,   17.41,   17.41],
  [  16.48,    7.32,    8.92,   11.54,    0.00,    0.00,    9.37,    9.37],
  [  16.48,    7.32,    8.92,   11.54,    0.00,    0.00,    9.37,    9.37],
  [   8.00,   12.37,    4.84,   17.41,    9.37,    9.37,    0.00,    0.00],
  [   8.00,   12.37,    4.84,   17.41,    9.37,    9.37,    0.00,    0.00]
];

fixedCost = [35.0, 29.9];

inspectCost = [0.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0];

dockPhysical = [1, 1, 2, 2];
