/* Instance L1: |P|=12, |D|=5, K=4, Q=80 */

nNodes_exp = 23;
nUAV = 4;
nP = 12;
nD = 5;
maxVisits = 2;

travelCost = 1.0;
Q = 80.0;

dist = [
  [   0.00,   16.55,   27.48,   61.10,   49.94,   16.21,   50.92,   40.61,   43.87,   34.79,   46.74,   43.63,   46.35,   24.36,   24.36,   27.79,   27.79,   12.31,   12.31,   23.89,   23.89,   32.95,   32.95],
  [  16.55,    0.00,   11.79,   44.78,   33.62,   12.37,   36.60,   24.42,   33.79,   18.83,   30.97,   27.66,   31.66,    8.36,    8.36,   16.51,   16.51,    4.33,    4.33,    9.00,    9.00,   21.10,   21.10],
  [  27.48,   11.79,    0.00,   36.56,   25.81,   22.87,   33.35,   13.21,   36.13,    7.32,   19.32,   16.16,   19.94,    9.67,    9.67,   21.00,   21.00,   15.94,   15.94,    3.84,    3.84,   12.31,   12.31],
  [  61.10,   44.78,   36.56,    0.00,   11.16,   48.94,   19.21,   25.55,   35.65,   30.58,   25.38,   25.21,   31.66,   36.73,   36.73,   37.61,   37.61,   48.84,   48.84,   40.27,   40.27,   42.35,   42.35],
  [  49.94,   33.62,   25.81,   11.16,    0.00,   38.16,   15.14,   16.38,   29.20,   20.48,   18.83,   17.28,   25.24,   25.58,   25.58,   27.37,   27.37,   37.68,   37.68,   29.42,   29.42,   33.02,   33.02],
  [  16.21,   12.37,   22.87,   48.94,   38.16,    0.00,   36.02,   33.65,   27.66,   28.90,   40.74,   37.19,   42.60,   14.71,   14.71,   12.35,   12.35,   10.62,   10.62,   20.96,   20.96,   33.40,   33.40],
  [  50.92,   36.60,   33.35,   19.21,   15.14,   36.02,    0.00,   28.81,   16.60,   30.76,   33.14,   30.84,   39.26,   28.43,   28.43,   23.67,   23.67,   39.73,   39.73,   36.08,   36.08,   43.64,   43.64],
  [  40.61,   24.42,   13.21,   25.55,   16.38,   33.65,   28.81,    0.00,   37.61,    5.94,    7.20,    3.60,   11.32,   18.95,   18.95,   27.32,   27.32,   28.73,   28.73,   16.99,   16.99,   16.84,   16.84],
  [  43.87,   33.79,   36.13,   35.65,   29.20,   27.66,   16.60,   37.61,    0.00,   36.93,   43.77,   40.65,   48.92,   27.64,   27.64,   17.32,   17.32,   35.31,   35.31,   37.36,   37.36,   48.26,   48.26],
  [  34.79,   18.83,    7.32,   30.58,   20.48,   28.90,   30.76,    5.94,   36.93,    0.00,   12.15,    8.86,   13.92,   14.41,   14.41,   24.30,   24.30,   23.09,   23.09,   11.06,   11.06,   12.95,   12.95],
  [  46.74,   30.97,   19.32,   25.38,   18.83,   40.74,   33.14,    7.20,   43.77,   12.15,    0.00,    3.60,    6.46,   26.05,   26.05,   34.46,   34.46,   35.22,   35.22,   22.85,   22.85,   18.78,   18.78],
  [  43.63,   27.66,   16.16,   25.21,   17.28,   37.19,   30.84,    3.60,   40.65,    8.86,    3.60,    0.00,    8.49,   22.49,   22.49,   30.89,   30.89,   31.94,   31.94,   19.81,   19.81,   17.47,   17.47],
  [  46.35,   31.66,   19.94,   31.66,   25.24,   42.60,   39.26,   11.32,   48.92,   13.92,    6.46,    8.49,    0.00,   28.30,   28.30,   37.99,   37.99,   35.66,   35.66,   22.85,   22.85,   15.27,   15.27],
  [  24.36,    8.36,    9.67,   36.73,   25.58,   14.71,   28.43,   18.95,   27.64,   14.41,   26.05,   22.49,   28.30,    0.00,    0.00,   11.46,   11.46,   12.15,   12.15,    9.84,    9.84,   21.84,   21.84],
  [  24.36,    8.36,    9.67,   36.73,   25.58,   14.71,   28.43,   18.95,   27.64,   14.41,   26.05,   22.49,   28.30,    0.00,    0.00,   11.46,   11.46,   12.15,   12.15,    9.84,    9.84,   21.84,   21.84],
  [  27.79,   16.51,   21.00,   37.61,   27.37,   12.35,   23.67,   27.32,   17.32,   24.30,   34.46,   30.89,   37.99,   11.46,   11.46,    0.00,    0.00,   18.09,   18.09,   21.23,   21.23,   33.27,   33.27],
  [  27.79,   16.51,   21.00,   37.61,   27.37,   12.35,   23.67,   27.32,   17.32,   24.30,   34.46,   30.89,   37.99,   11.46,   11.46,    0.00,    0.00,   18.09,   18.09,   21.23,   21.23,   33.27,   33.27],
  [  12.31,    4.33,   15.94,   48.84,   37.68,   10.62,   39.73,   28.73,   35.31,   23.09,   35.22,   31.94,   35.66,   12.15,   12.15,   18.09,   18.09,    0.00,    0.00,   12.83,   12.83,   24.19,   24.19],
  [  12.31,    4.33,   15.94,   48.84,   37.68,   10.62,   39.73,   28.73,   35.31,   23.09,   35.22,   31.94,   35.66,   12.15,   12.15,   18.09,   18.09,    0.00,    0.00,   12.83,   12.83,   24.19,   24.19],
  [  23.89,    9.00,    3.84,   40.27,   29.42,   20.96,   36.08,   16.99,   37.36,   11.06,   22.85,   19.81,   22.85,    9.84,    9.84,   21.23,   21.23,   12.83,   12.83,    0.00,    0.00,   12.61,   12.61],
  [  23.89,    9.00,    3.84,   40.27,   29.42,   20.96,   36.08,   16.99,   37.36,   11.06,   22.85,   19.81,   22.85,    9.84,    9.84,   21.23,   21.23,   12.83,   12.83,    0.00,    0.00,   12.61,   12.61],
  [  32.95,   21.10,   12.31,   42.35,   33.02,   33.40,   43.64,   16.84,   48.26,   12.95,   18.78,   17.47,   15.27,   21.84,   21.84,   33.27,   33.27,   24.19,   24.19,   12.61,   12.61,    0.00,    0.00],
  [  32.95,   21.10,   12.31,   42.35,   33.02,   33.40,   43.64,   16.84,   48.26,   12.95,   18.78,   17.47,   15.27,   21.84,   21.84,   33.27,   33.27,   24.19,   24.19,   12.61,   12.61,    0.00,    0.00]
];

fixedCost = [21.3, 29.9, 13.2, 34.0, 26.9];

inspectCost = [0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];

dockPhysical = [1, 1, 2, 2, 3, 3, 4, 4, 5, 5];
